ibge_id,uf,name,capital,lon,lat,no_accents,alternative_names,microregion,mesoregion
1100015,RO,Alta Floresta D'Oeste,,-61.9998238963,-11.9355403048,Alta Floresta D'Oeste,,Cacoal,Leste Rondoniense
1100023,RO,Ariquemes,,-63.033269278,-9.9084628666,Ariquemes,,Ariquemes,Leste Rondoniense
1100031,RO,Cabixi,,-60.5443135812,-13.4997634597,Cabixi,,Colorado do Oeste,Leste Rondoniense
1100049,RO,Cacoal,,-61.4429442118,-11.4338650287,Cacoal,,Cacoal,Leste Rondoniense
1100056,RO,Cerejeiras,,-60.8184261647,-13.195033032,Cerejeiras,,Colorado do Oeste,Leste Rondoniense
1100064,RO,Colorado do Oeste,,-60.5550674631,-13.1305638415,Colorado do Oeste,,Colorado do Oeste,Leste Rondoniense
1100072,RO,Corumbiara,,-60.9487011707,-12.9975202365,Corumbiara,,Colorado do Oeste,Leste Rondoniense
1100080,RO,Costa Marques,,-64.2316539391,-12.4360138777,Costa Marques,,Guajará-Mirim,Madeira-Guaporé
1100098,RO,Espigão D'Oeste,,-61.0201731133,-11.5285546333,Espigao D'Oeste,,Cacoal,Leste Rondoniense
1100106,RO,Guajará-Mirim,,-65.3239518197,-10.7738837407,Guajara-Mirim,,Guajará-Mirim,Madeira-Guaporé
1100114,RO,Jaru,,-62.4762307081,-10.4359487679,Jaru,,Ji-Paraná,Leste Rondoniense
1100122,RO,Ji-Paraná,,-61.9450945827,-10.8820513183,Ji-Parana,,Ji-Paraná,Leste Rondoniense
1100130,RO,Machadinho D'Oeste,,-61.9995925724,-9.42556248,Machadinho D'Oeste,,Ariquemes,Leste Rondoniense
1100148,RO,Nova Brasilândia D'Oeste,,-62.308230163,-11.7213254139,Nova Brasilandia D'Oeste,,Alvorada D'oeste,Leste Rondoniense
1100155,RO,Ouro Preto do Oeste,,-62.2610551904,-10.7235739008,Ouro Preto do Oeste,,Ji-Paraná,Leste Rondoniense
1100189,RO,Pimenta Bueno,,-61.1836656736,-11.67753699,Pimenta Bueno,,Vilhena,Leste Rondoniense
1100205,RO,Porto Velho,true,-63.8314456544,-8.76889179,Porto Velho,,Porto Velho,Madeira-Guaporé
1100254,RO,Presidente Médici,,-61.9094386835,-11.1732050162,Presidente Medici,,Ji-Paraná,Leste Rondoniense
1100262,RO,Rio Crespo,,-62.900010366,-9.7055367097,Rio Crespo,,Ariquemes,Leste Rondoniense
1100288,RO,Rolim de Moura,,-61.7857809352,-11.7222589134,Rolim de Moura,,Cacoal,Leste Rondoniense
1100296,RO,Santa Luzia D'Oeste,,-61.7733054631,-11.9084233325,Santa Luzia D'Oeste,,Cacoal,Leste Rondoniense
1100304,RO,Vilhena,,-60.1385838661,-12.7413734718,Vilhena,,Vilhena,Leste Rondoniense
1100320,RO,São Miguel do Guaporé,,-62.7200634814,-11.6994897438,Sao Miguel do Guapore,,Alvorada D'oeste,Leste Rondoniense
1100338,RO,Nova Mamoré,,-65.3291490231,-10.4117712947,Nova Mamore,,Porto Velho,Madeira-Guaporé
1100346,RO,Alvorada D'Oeste,,-62.2772748657,-11.3441300234,Alvorada D'Oeste,,Alvorada D'oeste,Leste Rondoniense
1100379,RO,Alto Alegre dos Parecis,,-61.8530771686,-12.1317772246,Alto Alegre dos Parecis,,Cacoal,Leste Rondoniense
1100403,RO,Alto Paraíso,,-63.3176294335,-9.7166667381,Alto Paraiso,,Ariquemes,Leste Rondoniense
1100452,RO,Buritis,,-63.8296787918,-10.2098054072,Buritis,,Porto Velho,Madeira-Guaporé
1100502,RO,Novo Horizonte do Oeste,,-61.9943876628,-11.70974292,Novo Horizonte do Oeste,,Cacoal,Leste Rondoniense
1100601,RO,Cacaulândia,,-62.9031899346,-10.3388728394,Cacaulandia,,Ariquemes,Leste Rondoniense
1100700,RO,Campo Novo de Rondônia,,-63.6249914265,-10.5684164693,Campo Novo de Rondonia,,Porto Velho,Madeira-Guaporé
1100809,RO,Candeias do Jamari,,-63.7000200718,-8.7850207035,Candeias do Jamari,,Porto Velho,Madeira-Guaporé
1100908,RO,Castanheiras,,-61.9491611965,-11.4268422255,Castanheiras,,Cacoal,Leste Rondoniense
1100924,RO,Chupinguaia,,-60.90184775,-12.5568407611,Chupinguaia,,Vilhena,Leste Rondoniense
1100940,RO,Cujubim,,-62.5871745319,-9.3781933991,Cujubim,,Porto Velho,Madeira-Guaporé
1101005,RO,Governador Jorge Teixeira,,-62.7404576395,-10.6120717726,Governador Jorge Teixeira,,Ji-Paraná,Leste Rondoniense
1101104,RO,Itapuã do Oeste,,-63.1823370165,-9.1918716753,Itapua do Oeste,,Porto Velho,Madeira-Guaporé
1101203,RO,Ministro Andreazza,,-61.5189219301,-11.1962379842,Ministro Andreazza,,Cacoal,Leste Rondoniense
1101302,RO,Mirante da Serra,,-62.6694270953,-11.0456092899,Mirante da Serra,,Ji-Paraná,Leste Rondoniense
1101401,RO,Monte Negro,,-63.2955591672,-10.2630977559,Monte Negro,,Ariquemes,Leste Rondoniense
1101435,RO,Nova União,,-62.5550893989,-10.9155320417,Nova Uniao,,Ji-Paraná,Leste Rondoniense
1101450,RO,Parecis,,-61.5979979727,-12.1798270507,Parecis,,Vilhena,Leste Rondoniense
1101468,RO,Pimenteiras do Oeste,,-61.0443790025,-13.4765620025,Pimenteiras do Oeste,,Colorado do Oeste,Leste Rondoniense
1101476,RO,Primavera de Rondônia,,-61.3165462429,-11.8257069542,Primavera de Rondonia,,Vilhena,Leste Rondoniense
1101484,RO,São Felipe D'Oeste,,-61.5125081133,-11.9143893547,Sao Felipe D'Oeste,,Vilhena,Leste Rondoniense
1101492,RO,São Francisco do Guaporé,,-63.5708647108,-12.0637984122,Sao Francisco do Guapore,,Guajará-Mirim,Madeira-Guaporé
1101500,RO,Seringueiras,,-63.0387609977,-11.7671166356,Seringueiras,,Alvorada D'oeste,Leste Rondoniense
1101559,RO,Teixeirópolis,,-62.255922254,-10.932169286,Teixeiropolis,,Ji-Paraná,Leste Rondoniense
