ibge_code,state_code,osm_relation_id,wikidata_id,name,is_capital,population_2017,population_2018,wikipedia_pt,website,lon,lat,no_accents,alternative_names,microregion,mesoregion
1100015,RO,325842,Q1761456,Alta Floresta d'Oeste,,25437,23167,pt:Alta Floresta d'Oeste,,-61.9998238963,-11.9355403048,Alta Floresta d'Oeste,,Cacoal,Leste Rondoniense
1100023,RO,325888,Q1646975,Ariquemes,,107345,106168,pt:Ariquemes,,-63.033269278,-9.9084628666,Ariquemes,,Ariquemes,Leste Rondoniense
1100031,RO,325882,Q940433,Cabixi,,6224,5438,pt:Cabixi,,-60.5443135812,-13.4997634597,Cabixi,,Colorado do Oeste,Leste Rondoniense
1100049,RO,325872,Q1761637,Cacoal,,88507,84813,pt:Cacoal,,-61.4429442118,-11.4338650287,Cacoal,,Cacoal,Leste Rondoniense
1100056,RO,325883,Q1803210,Cerejeiras,,17934,16444,pt:Cerejeiras,,-60.8184261647,-13.195033032,Cerejeiras,,Colorado do Oeste,Leste Rondoniense
1100064,RO,325860,Q1785819,Colorado do Oeste,,18467,16227,pt:Colorado do Oeste,,-60.5550674631,-13.1305638415,Colorado do Oeste,,Colorado do Oeste,Leste Rondoniense
1100072,RO,325874,Q927349,Corumbiara,,8659,7567,pt:Corumbiara,,-60.9487011707,-12.9975202365,Corumbiara,,Colorado do Oeste,Leste Rondoniense
1100080,RO,325844,Q656758,Costa Marques,,17400,17855,pt:Costa Marques,,-64.2316539391,-12.4360138777,Costa Marques,,Guajará-Mirim,Madeira-Guaporé
1100098,RO,325845,Q616498,Espigão d'Oeste,,33030,32047,pt:Espigão d'Oeste,,-61.0201731133,-11.5285546333,Espigao d'Oeste,,Cacoal,Leste Rondoniense
1100106,RO,325856,Q983810,Guajará-Mirim,,47451,45783,pt:Guajará-Mirim,,-65.3239518197,-10.7738837407,Guajara-Mirim,,Guajará-Mirim,Madeira-Guaporé
1100114,RO,325864,Q988755,Jaru,,55871,51933,pt:Jaru,,-62.4762307081,-10.4359487679,Jaru,,Ji-Paraná,Leste Rondoniense
1100122,RO,325879,Q983815,Ji-Paraná,,132667,127907,pt:Ji-Paraná,,-61.9450945827,-10.8820513183,Ji-Parana,,Ji-Paraná,Leste Rondoniense
1100130,RO,325881,Q1786440,Machadinho d'Oeste,,38609,39097,pt:Machadinho d'Oeste,,-61.9995925724,-9.42556248,Machadinho d'Oeste,,Ariquemes,Leste Rondoniense
1100148,RO,325857,Q2014329,Nova Brasilândia d'Oeste,,21747,20459,pt:Nova Brasilândia d'Oeste,,-62.308230163,-11.7213254139,Nova Brasilandia d'Oeste,,Alvorada D'oeste,Leste Rondoniense
1100155,RO,325854,Q1803223,Ouro Preto do Oeste,,39759,36340,pt:Ouro Preto do Oeste,,-62.2610551904,-10.7235739008,Ouro Preto do Oeste,,Ji-Paraná,Leste Rondoniense
1100189,RO,325843,Q1803175,Pimenta Bueno,,38051,36434,pt:Pimenta Bueno,,-61.1836656736,-11.67753699,Pimenta Bueno,,Vilhena,Leste Rondoniense
1100205,RO,325855,Q172512,Porto Velho,true,519436,519531,pt:Porto Velho,,-63.8314456544,-8.76889179,Porto Velho,,Porto Velho,Madeira-Guaporé
1100254,RO,325892,Q1871362,Presidente Médici,,22124,19409,pt:Presidente Médici (Rondônia),,-61.9094386835,-11.1732050162,Presidente Medici,,Ji-Paraná,Leste Rondoniense
1100262,RO,325848,Q1786495,Rio Crespo,,3829,3723,pt:Rio Crespo,,-62.900010366,-9.7055367097,Rio Crespo,,Ariquemes,Leste Rondoniense
1100288,RO,325876,Q1784242,Rolim de Moura,,57074,54702,pt:Rolim de Moura,,-61.7857809352,-11.7222589134,Rolim de Moura,,Cacoal,Leste Rondoniense
1100296,RO,325862,Q1802100,Santa Luzia d'Oeste,,8198,6781,pt:Santa Luzia d'Oeste,,-61.7733054631,-11.9084233325,Santa Luzia d'Oeste,,Cacoal,Leste Rondoniense
1100304,RO,325887,Q1749958,Vilhena,,95630,97448,pt:Vilhena,,-60.1385838661,-12.7413734718,Vilhena,,Vilhena,Leste Rondoniense
1100320,RO,325863,Q1807456,São Miguel do Guaporé,,24181,22931,pt:São Miguel do Guaporé,,-62.7200634814,-11.6994897438,Sao Miguel do Guapore,,Alvorada D'oeste,Leste Rondoniense
1100338,RO,325849,Q993507,Nova Mamoré,,28891,29757,pt:Nova Mamoré,,-65.3291490231,-10.4117712947,Nova Mamore,,Porto Velho,Madeira-Guaporé
1100346,RO,325853,Q1786028,Alvorada d'Oeste,,16747,14722,pt:Alvorada d'Oeste,,-62.2772748657,-11.3441300234,Alvorada d'Oeste,,Alvorada D'oeste,Leste Rondoniense
1100379,RO,325858,Q1802050,Alto Alegre dos Parecis,,14045,13227,pt:Alto Alegre dos Parecis,,-61.8530771686,-12.1317772246,Alto Alegre dos Parecis,,Cacoal,Leste Rondoniense
1100403,RO,325870,Q607036,Alto Paraíso,,20916,20999,pt:Alto Paraíso (Rondônia),,-63.3176294335,-9.7166667381,Alto Paraiso,,Ariquemes,Leste Rondoniense
1100452,RO,325859,Q1921800,Buritis,,39044,38937,pt:Buritis (Rondônia),,-63.8296787918,-10.2098054072,Buritis,,Porto Velho,Madeira-Guaporé
1100502,RO,325865,Q2013150,Novo Horizonte do Oeste,,10051,8751,pt:Novo Horizonte do Oeste,,-61.9943876628,-11.70974292,Novo Horizonte do Oeste,,Cacoal,Leste Rondoniense
1100601,RO,325847,Q1750177,Cacaulândia,,6460,6190,pt:Cacaulândia,,-62.9031899346,-10.3388728394,Cacaulandia,,Ariquemes,Leste Rondoniense
1100700,RO,325871,Q2089179,Campo Novo de Rondônia,,14484,14009,pt:Campo Novo de Rondônia,,-63.6249914265,-10.5684164693,Campo Novo de Rondonia,,Porto Velho,Madeira-Guaporé
1100809,RO,325890,Q2078405,Candeias do Jamari,,25266,25983,pt:Candeias do Jamari,,-63.7000200718,-8.7850207035,Candeias do Jamari,,Porto Velho,Madeira-Guaporé
1100908,RO,325891,Q1785860,Castanheiras,,3550,3119,pt:Castanheiras,,-61.9491611965,-11.4268422255,Castanheiras,,Cacoal,Leste Rondoniense
1100924,RO,325852,Q735454,Chupinguaia,,10593,10886,pt:Chupinguaia,,-60.90184775,-12.5568407611,Chupinguaia,,Vilhena,Leste Rondoniense
1100940,RO,325880,Q1803135,Cujubim,,22443,24226,pt:Cujubim,,-62.5871745319,-9.3781933991,Cujubim,,Porto Velho,Madeira-Guaporé
1101005,RO,325894,Q964725,Governador Jorge Teixeira,,9745,8095,pt:Governador Jorge Teixeira,,-62.7404576395,-10.6120717726,Governador Jorge Teixeira,,Ji-Paraná,Leste Rondoniense
1101104,RO,325893,Q1802170,Itapuã do Oeste,,10310,10272,pt:Itapuã do Oeste,,-63.1823370165,-9.1918716753,Itapua do Oeste,,Porto Velho,Madeira-Guaporé
1101203,RO,325889,Q775204,Ministro Andreazza,,10751,9762,pt:Ministro Andreazza,,-61.5189219301,-11.1962379842,Ministro Andreazza,,Cacoal,Leste Rondoniense
1101302,RO,325875,Q2079711,Mirante da Serra,,12258,11080,pt:Mirante da Serra,,-62.6694270953,-11.0456092899,Mirante da Serra,,Ji-Paraná,Leste Rondoniense
1101401,RO,325873,Q2014320,Monte Negro,,16186,15695,pt:Monte Negro,,-63.2955591672,-10.2630977559,Monte Negro,,Ariquemes,Leste Rondoniense
1101435,RO,325846,Q2364475,Nova União,,7769,7047,pt:Nova União (Rondônia),,-62.5550893989,-10.9155320417,Nova Uniao,,Ji-Paraná,Leste Rondoniense
1101450,RO,325850,Q1803114,Parecis,,5904,5947,pt:Parecis (Rondônia),,-61.5979979727,-12.1798270507,Parecis,,Vilhena,Leste Rondoniense
1101468,RO,325885,Q1803105,Pimenteiras do Oeste,,2410,2191,pt:Pimenteiras do Oeste,,-61.0443790025,-13.4765620025,Pimenteiras do Oeste,,Colorado do Oeste,Leste Rondoniense
1101476,RO,325878,Q1802123,Primavera de Rondônia,,3411,2939,pt:Primavera de Rondônia,,-61.3165462429,-11.8257069542,Primavera de Rondonia,,Vilhena,Leste Rondoniense
1101484,RO,325877,Q1803269,São Felipe d'Oeste,,5994,5280,pt:São Felipe d'Oeste,,-61.5125081133,-11.9143893547,Sao Felipe d'Oeste,,Vilhena,Leste Rondoniense
1101492,RO,325851,Q1802095,São Francisco do Guaporé,,19694,19842,pt:São Francisco do Guaporé,,-63.5708647108,-12.0637984122,Sao Francisco do Guapore,,Guajará-Mirim,Madeira-Guaporé
