ibge_code,ibge_city_code,name
110001505,1100015,Alta Floresta d'Oeste
110001515,1100015,Filadélfia d'Oeste
110001520,1100015,Izidolândia
110001525,1100015,Nova Gease d'Oeste
110001530,1100015,Rolim de Moura do Guaporé
110001535,1100015,Santo Antônio d'Oeste
110002305,1100023,Ariquemes
110003105,1100031,Cabixi
110004905,1100049,Cacoal
110004910,1100049,Riozinho
110005605,1100056,Cerejeiras
110006405,1100064,Colorado do Oeste
110007205,1100072,Corumbiara
110008005,1100080,Costa Marques
110008015,1100080,Príncipe da Beira
110009805,1100098,Espigão d'Oeste
110009810,1100098,Boa Vista do Pacarana
110009812,1100098,Novo Paraíso
110009815,1100098,Flor da Serra
110009818,1100098,Nova Esperança
110010605,1100106,Guajará-Mirim
110010612,1100106,Iata
110010622,1100106,Surpresa
110011405,1100114,Jaru
110011410,1100114,Bom Jesus
110011420,1100114,Santa Cruz da Serra
110011425,1100114,Tarilândia
110012205,1100122,Ji-Paraná
110012220,1100122,Nova Colina
110012225,1100122,Nova Londrina
110013005,1100130,Machadinho d'Oeste
110013015,1100130,Oriente Novo
110013020,1100130,Quinto Bec
110013025,1100130,Tabajara
110014805,1100148,Nova Brasilândia d'Oeste
110015505,1100155,Ouro Preto do Oeste
110015525,1100155,Rondominas
110018905,1100189,Pimenta Bueno
110018915,1100189,Marco Rondon
110020505,1100205,Porto Velho
110020510,1100205,Abunã
110020515,1100205,Calama
110020516,1100205,Demarcação
110020517,1100205,Extrema
110020518,1100205,Fortaleza do Abunã
110020520,1100205,Jaci Paraná
110020525,1100205,Mutum Paraná
110020530,1100205,Nazaré
110020535,1100205,Nova Califórnia
110020540,1100205,São Carlos
110020545,1100205,Vista Alegre do Abunã
110025405,1100254,Presidente Médici
110025415,1100254,Estrela de Rondônia
110025420,1100254,Novo Riachuelo
110025425,1100254,Vila Bandeira Branca
110025430,1100254,Vila Camargo
110026205,1100262,Rio Crespo
110028805,1100288,Rolim de Moura
110029605,1100296,Santa Luzia d'Oeste
110030405,1100304,Vilhena
110032005,1100320,São Miguel do Guaporé
110032020,1100320,Santana do Guaporé
110033805,1100338,Nova Mamoré
110033810,1100338,Araras
110033812,1100338,Jacynópolis
110033815,1100338,Nova Dimensão
110033820,1100338,Palmeiras
110034605,1100346,Alvorada d'Oeste
110034625,1100346,Tancredópolis
110034630,1100346,Terra Boa
110037905,1100379,Alto Alegre dos Parecis
110040305,1100403,Alto Paraíso
110045205,1100452,Buritis
110050205,1100502,Novo Horizonte do Oeste
110060105,1100601,Cacaulândia
110070005,1100700,Campo Novo de Rondônia
110080905,1100809,Candeias do Jamari
110080920,1100809,Rio Preto do Candeias
110090805,1100908,Castanheiras
110092405,1100924,Chupinguaia
110094005,1100940,Cujubim
110100505,1101005,Governador Jorge Teixeira
110100515,1101005,Colina Verde
110110405,1101104,Itapuã do Oeste
110120305,1101203,Ministro Andreazza
110130205,1101302,Mirante da Serra
110140105,1101401,Monte Negro
110143505,1101435,Nova União
110145005,1101450,Parecis
110146805,1101468,Pimenteiras do Oeste
110147605,1101476,Primavera de Rondônia
110148405,1101484,São Felipe d'Oeste
110149205,1101492,São Francisco do Guaporé
110150005,1101500,Seringueiras
110155905,1101559,Teixeirópolis
110160905,1101609,Theobroma
110170805,1101708,Urupá
110175705,1101757,Vale do Anari
110180705,1101807,Vale do Paraíso
120001305,1200013,Acrelândia
120005405,1200054,Assis Brasil
120010405,1200104,Brasiléia
120013805,1200138,Bujari
120017905,1200179,Capixaba
120020305,1200203,Cruzeiro do Sul
120025205,1200252,Epitaciolândia
120030205,1200302,Feijó
120032805,1200328,Jordão
120033605,1200336,Mâncio Lima
120034405,1200344,Manoel Urbano
120035105,1200351,Marechal Thaumaturgo
120038505,1200385,Plácido de Castro
120038510,1200385,Campinas
120039305,1200393,Porto Walter
120040105,1200401,Rio Branco
120042705,1200427,Rodrigues Alves
120043505,1200435,Santa Rosa do Purus
120045005,1200450,Senador Guiomard
120050005,1200500,Sena Madureira
120060905,1200609,Tarauacá
120070805,1200708,Xapuri
120080705,1200807,Porto Acre
130002905,1300029,Alvarães
130006005,1300060,Amaturá
130008605,1300086,Anamã
130010205,1300102,Anori
130014405,1300144,Apuí
130020105,1300201,Atalaia do Norte
130030005,1300300,Autazes
130030010,1300300,Murutinga
130040905,1300409,Barcelos
130050805,1300508,Barreirinha
130050810,1300508,Ariaú
130050812,1300508,Cametá
130050815,1300508,Freguesia do Andirá
130050820,1300508,Pedras
130060705,1300607,Benjamin Constant
130063105,1300631,Beruri
130068005,1300680,Boa Vista do Ramos
130068010,1300680,Lago Preto
130068015,1300680,Massauari
130070605,1300706,Boca do Acre
130070610,1300706,Floriano Peixoto
130080505,1300805,Borba
130083905,1300839,Caapiranga
130090405,1300904,Canutama
130100105,1301001,Carauari
130110005,1301100,Careiro
130115905,1301159,Careiro da Várzea
130120905,1301209,Coari
130130805,1301308,Codajás
130130810,1301308,Badajos
130140705,1301407,Eirunepé
130150605,1301506,Envira
130160505,1301605,Fonte Boa
130165405,1301654,Guajará
130170405,1301704,Humaitá
130180305,1301803,Ipixuna
130185205,1301852,Iranduba
130185210,1301852,Ariaú
130185215,1301852,Cacau Pirêra
130185220,1301852,Lago do Limão
130185225,1301852,Paricatuba
130190205,1301902,Itacoatiara
130190210,1301902,Amatari
130195105,1301951,Itamarati
130200905,1302009,Itapiranga
130210805,1302108,Japurá
130220705,1302207,Juruá
130230605,1302306,Jutaí
130240505,1302405,Lábrea
130250405,1302504,Manacapuru
130255305,1302553,Manaquiri
130260305,1302603,Manaus
130270205,1302702,Manicoré
130280105,1302801,Maraã
130290005,1302900,Maués
130290010,1302900,Osório da Fonseca
130290015,1302900,Repartimento
130300705,1303007,Nhamundá
130310605,1303106,Nova Olinda do Norte
130320505,1303205,Novo Airão
130330405,1303304,Novo Aripuanã
130340305,1303403,Parintins
130340310,1303403,Mocambo
130350205,1303502,Pauini
130353605,1303536,Presidente Figueiredo
130353610,1303536,Balbina
130356905,1303569,Rio Preto da Eva
130360105,1303601,Santa Isabel do Rio Negro
130370005,1303700,Santo Antônio do Içá
130380905,1303809,São Gabriel da Cachoeira
130380912,1303809,Cucui
130380915,1303809,Içana
130380920,1303809,São Felipe
130390805,1303908,São Paulo de Olivença
130390815,1303908,Santa Rita
130395705,1303957,São Sebastião do Uatumã
130400505,1304005,Silves
130406205,1304062,Tabatinga
130410405,1304104,Tapauá
130420305,1304203,Tefé
130423705,1304237,Tonantins
130426005,1304260,Uarini
130430205,1304302,Urucará
130440105,1304401,Urucurituba
130440110,1304401,Augusto Montenegro
140002705,1400027,Amajari
140005005,1400050,Alto Alegre
140010005,1400100,Boa Vista
140015905,1400159,Bonfim
140017505,1400175,Cantá
140020905,1400209,Caracaraí
140023305,1400233,Caroebe
140028205,1400282,Iracema
140030805,1400308,Mucajaí
140040705,1400407,Normandia
140045605,1400456,Pacaraima
140047205,1400472,Rorainópolis
140050605,1400506,São João da Baliza
140060505,1400605,São Luiz
140070405,1400704,Uiramutã
150010705,1500107,Abaetetuba
150010710,1500107,Beja
150013105,1500131,Abel Figueiredo
150020605,1500206,Acará
150020610,1500206,Guajará-Miri
