code,ibge_code,iso3166-2,osm_relation_id,wikidata_id,name,no_accents,population_2017,population_2018,gentilic,gentilic_alternative,macroregion,wikipedia_pt,website,timezone,flag_image
AC,12,BR-AC,326266,Q40780,Acre,Acre,829619,869265,acriano,acreano,Norte,pt:Acre,http://www.ac.gov.br,America/Rio_Branco,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bandeira_do_Acre.svg
AL,27,BR-AL,303781,Q40885,Alagoas,Alagoas,3375823,3322820,alagoano,,Nordeste,pt:Alagoas,http://www.agenciaalagoas.al.gov.br,America/Maceio,https://upload.wikimedia.org/wikipedia/commons/8/88/Bandeira_de_Alagoas.svg
AM,13,BR-AM,332476,Q40040,Amazonas,Amazonas,4063614,4080611,amazonense,,Norte,pt:Amazonas,http://www.amazonas.am.gov.br,"(Leste) America/Manaus, (Oeste) America/Eirunepe",https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandeira_do_Amazonas.svg
AP,16,BR-AP,331463,Q40130,Amapá,Amapa,797722,829494,amapaense,,Norte,pt:Amapá,http://www.ap.gov.br,America/Belem,https://upload.wikimedia.org/wikipedia/commons/0/0c/Bandeira_do_Amap%C3%A1.svg
BA,29,BR-BA,362413,Q40430,Bahia,Bahia,15344447,14812617,baiano,,Nordeste,pt:Bahia,http://www.ba.gov.br,America/Bahia,https://upload.wikimedia.org/wikipedia/commons/2/28/Bandeira_da_Bahia.svg
CE,23,BR-CE,302635,Q40123,Ceará,Ceara,9020460,9075649,cearense,,Nordeste,pt:Ceará,http://www.ceara.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bandeira_do_Cear%C3%A1.svg
DF,53,BR-DF,421151,Q119158,Distrito Federal,Distrito Federal,3039444,2974703,brasiliense,,Centro-Oeste,pt:Distrito Federal (Brasil),http://www.df.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg
ES,32,BR-ES,54882,Q43233,Espírito Santo,Espirito Santo,4016356,3972388,capixaba,espírito-santense,Sudeste,pt:Espírito Santo (estado),http://www.es.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg
GO,52,BR-GO,334443,Q41587,Goiás,Goias,6778772,6921161,goiano,,Centro-Oeste,pt:Goiás,http://www.goias.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/0/0e/Bandeira_de_Goi%C3%A1s.svg
MA,21,BR-MA,332924,Q42362,Maranhão,Maranhao,7000229,7035055,maranhense,,Nordeste,pt:Maranhão,http://www.ma.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/4/45/Bandeira_do_Maranh%C3%A3o.svg
