name,lat,lng,state_abbreviation,state_name,population,is_capital,id,uppercase_name_nomalized,population_min_max_normalization
Abadia de Goiás,-16.7573,-49.4412,GO,Goiás,9158,false,1,ABADIA DE GOIAS,0.000676611
Abadiânia,-16.197,-48.7057,GO,Goiás,20873,false,2,ABADIANIA,0.0016217043
Acreúna,-17.396,-50.3749,GO,Goiás,22710,false,3,ACREUNA,0.0017699021
Adelândia,-16.4127,-50.1657,GO,Goiás,2515,false,4,ADELANDIA,0.0001406951
Água Fria de Goiás,-14.9778,-47.7823,GO,Goiás,5843,false,5,AGUA FRIA DE GOIAS,0.0004091774
Água Limpa,-18.0771,-48.7603,GO,Goiás,1809,false,6,AGUA LIMPA,0.0000837394
Águas Lindas de Goiás,-15.7617,-48.2816,GO,Goiás,222850,false,7,AGUAS LINDAS DE GOIAS,0.0179159526
Alexânia,-16.0834,-48.5076,GO,Goiás,28360,false,8,ALEXANIA,0.0022257089
Aloândia,-17.7292,-49.4769,GO,Goiás,1976,false,9,ALOANDIA,0.0000972119
Alto Horizonte,-14.1978,-49.3378,GO,Goiás,6796,false,10,ALTO HORIZONTE,0.0004860595
Alto Paraíso de Goiás,-14.1305,-47.51,GO,Goiás,7751,false,11,ALTO PARAISO DE GOIAS,0.000563103
Alvorada do Norte,-14.4797,-46.491,GO,Goiás,8749,false,12,ALVORADA DO NORTE,0.0006436154
Amaralina,-13.9236,-49.2962,GO,Goiás,3875,false,13,AMARALINA,0.0002504114
Americano do Brasil,-16.2514,-49.9831,GO,Goiás,6220,false,14,AMERICANO DO BRASIL,0.0004395914
Amorinópolis,-16.6151,-51.0919,GO,Goiás,3011,false,15,AMORINOPOLIS,0.0001807093
Anápolis,-16.3281,-48.953,GO,Goiás,396526,false,16,ANAPOLIS,0.0319270522
Anhanguera,-18.3339,-48.2204,GO,Goiás,1171,false,17,ANHANGUERA,0.0000322695
Anicuns,-16.4642,-49.9617,GO,Goiás,22113,false,18,ANICUNS,0.0017217398
Aparecida de Goiânia,-16.8198,-49.2469,GO,Goiás,601844,false,19,APARECIDA DE GOIANIA,0.0484908315
Aparecida do Rio Doce,-18.2941,-51.1516,GO,Goiás,2474,false,20,APARECIDA DO RIO DOCE,0.0001373874
Aporé,-18.9607,-51.9232,GO,Goiás,4266,false,21,APORE,0.0002819549
Araçu,-16.3563,-49.6804,GO,Goiás,3450,false,22,ARACU,0.0002161251
Aragarças,-15.8955,-52.2372,GO,Goiás,20410,false,23,ARAGARCAS,0.0015843524
Aragoiânia,-16.9087,-49.4476,GO,Goiás,10680,false,24,ARAGOIANIA,0.0007993965
Araguapaz,-15.0909,-50.6315,GO,Goiás,7795,false,25,ARAGUAPAZ,0.0005666526
Arenópolis,-16.3837,-51.5563,GO,Goiás,2462,false,26,ARENOPOLIS,0.0001364194
Aruanã,-14.9166,-51.075,GO,Goiás,10340,false,27,ARUANA,0.0007719674
Aurilândia,-16.6773,-50.4641,GO,Goiás,3000,false,28,AURILANDIA,0.0001798219
Avelinópolis,-16.4672,-49.7579,GO,Goiás,2401,false,29,AVELINOPOLIS,0.0001314983
Baliza,-16.1966,-52.5393,GO,Goiás,5418,false,30,BALIZA,0.0003748911
Barro Alto,-14.9658,-48.9086,GO,Goiás,11643,false,31,BARRO ALTO,0.0008770853
Bela Vista de Goiás,-16.9693,-48.9513,GO,Goiás,31004,false,32,BELA VISTA DE GOIAS,0.0024390104
Bom Jardim de Goiás,-16.2063,-52.1728,GO,Goiás,8912,false,33,BOM JARDIM DE GOIAS,0.0006567653
Bom Jesus de Goiás,-18.2173,-49.74,GO,Goiás,26069,false,34,BOM JESUS DE GOIAS,0.0020408853
Bonfinópolis,-16.6173,-48.9616,GO,Goiás,10120,false,35,BONFINOPOLIS,0.0007542192
Bonópolis,-13.6329,-49.8106,GO,Goiás,4579,false,36,BONOPOLIS,0.0003072058
Brazabrantes,-16.4281,-49.3863,GO,Goiás,3812,false,37,BRAZABRANTES,0.000245329
Britânia,-15.2428,-51.1602,GO,Goiás,5815,false,38,BRITANIA,0.0004069186
Buriti Alegre,-18.1378,-49.0404,GO,Goiás,9515,false,39,BURITI ALEGRE,0.0007054115
Buriti de Goiás,-16.1792,-50.4302,GO,Goiás,2464,false,40,BURITI DE GOIAS,0.0001365807
Buritinópolis,-14.4772,-46.4076,GO,Goiás,3272,false,41,BURITINOPOLIS,0.0002017651
Cabeceiras,-15.7995,-46.9265,GO,Goiás,8098,false,42,CABECEIRAS,0.0005910968
Cachoeira Alta,-18.7618,-50.9432,GO,Goiás,12843,false,43,CACHOEIRA ALTA,0.0009738939
Cachoeira de Goiás,-16.6635,-50.646,GO,Goiás,1336,false,44,CACHOEIRA DE GOIAS,0.0000455807
Cachoeira Dourada,-18.4859,-49.4766,GO,Goiás,7997,false,45,CACHOEIRA DOURADA,0.0005829487
Caçu,-18.5594,-51.1328,GO,Goiás,16525,false,46,CACU,0.0012709347
Caiapônia,-16.9539,-51.8091,GO,Goiás,19304,false,47,CAIAPONIA,0.0014951272
Caldas Novas,-17.7441,-48.6246,GO,Goiás,95183,false,48,CALDAS NOVAS,0.007616573
Caldazinha,-16.7117,-49.0013,GO,Goiás,3900,false,49,CALDAZINHA,0.0002524283
Campestre de Goiás,-16.7624,-49.695,GO,Goiás,3662,false,50,CAMPESTRE DE GOIAS,0.0002332279
Campinaçu,-13.787,-48.5704,GO,Goiás,3628,false,51,CAMPINACU,0.000230485
Campinorte,-14.3137,-49.1511,GO,Goiás,12880,false,52,CAMPINORTE,0.0009768788
Campo Alegre de Goiás,-17.6363,-47.7768,GO,Goiás,7884,false,53,CAMPO ALEGRE DE GOIAS,0.0005738326
Campo Limpo de Goiás,-16.2971,-49.0895,GO,Goiás,8087,false,54,CAMPO LIMPO DE GOIAS,0.0005902094
Campos Belos,-13.035,-46.7681,GO,Goiás,20124,false,55,CAMPOS BELOS,0.0015612797
Campos Verdes,-14.2442,-49.6528,GO,Goiás,1526,false,56,CAMPOS VERDES,0.0000609087
Carmo do Rio Verde,-15.3549,-49.708,GO,Goiás,10299,false,57,CARMO DO RIO VERDE,0.0007686598
Castelândia,-18.0921,-50.203,GO,Goiás,3380,false,58,CASTELANDIA,0.0002104779
Catalão,-18.1656,-47.944,GO,Goiás,113091,false,59,CATALAO,0.0090612791
Caturaí,-16.4447,-49.4936,GO,Goiás,5132,false,60,CATURAI,0.0003518184
Cavalcante,-13.7976,-47.4566,GO,Goiás,9740,false,61,CAVALCANTE,0.0007235631
Ceres,-15.3061,-49.6,GO,Goiás,22407,false,62,CERES,0.0017454579
Cezarina,-16.9718,-49.7758,GO,Goiás,8794,false,63,CEZARINA,0.0006472457
Chapadão do Céu,-18.4073,-52.549,GO,Goiás,10797,false,64,CHAPADAO DO CEU,0.0008088353
