municipio,uf,uf_code,mesoregion,microregion,rgint,rgi,osm_relation_id,wikidata_id,is_capital,wikipedia_pt,lon,lat,no_accents,slug_name,alternative_names
1100015,11,RO,1102,11006,1102,110005,325842,Q1761456,,pt:Alta Floresta d'Oeste,-61.9998238963,-11.9355403048,Alta Floresta d'Oeste,alta-floresta-doeste,
1100023,11,RO,1102,11003,1101,110002,325888,Q1646975,,pt:Ariquemes,-63.033269278,-9.9084628666,Ariquemes,ariquemes,
1100031,11,RO,1102,11008,1102,110006,325882,Q940433,,pt:Cabixi,-60.5443135812,-13.4997634597,Cabixi,cabixi,
1100049,11,RO,1102,11006,1102,110005,325872,Q1761637,,pt:Cacoal,-61.4429442118,-11.4338650287,Cacoal,cacoal,
1100056,11,RO,1102,11008,1102,110006,325883,Q1803210,,pt:Cerejeiras,-60.8184261647,-13.195033032,Cerejeiras,cerejeiras,
1100064,11,RO,1102,11008,1102,110006,325860,Q1785819,,pt:Colorado do Oeste,-60.5550674631,-13.1305638415,Colorado do Oeste,colorado-do-oeste,
1100072,11,RO,1102,11008,1102,110006,325874,Q927349,,pt:Corumbiara,-60.9487011707,-12.9975202365,Corumbiara,corumbiara,
1100080,11,RO,1101,11002,1102,110004,325844,Q656758,,pt:Costa Marques,-64.2316539391,-12.4360138777,Costa Marques,costa-marques,
1100098,11,RO,1102,11006,1102,110005,325845,Q616498,,pt:Espigão d'Oeste,-61.0201731133,-11.5285546333,Espigao d'Oeste,espigao-doeste,
1100106,11,RO,1101,11002,1101,110001,325856,Q983810,,pt:Guajará-Mirim,-65.3239518197,-10.7738837407,Guajara-Mirim,guajara-mirim,
1100114,11,RO,1102,11004,1101,110003,325864,Q988755,,pt:Jaru,-62.4762307081,-10.4359487679,Jaru,jaru,
1100122,11,RO,1102,11004,1102,110004,325879,Q983815,,pt:Ji-Paraná,-61.9450945827,-10.8820513183,Ji-Parana,ji-parana,
1100130,11,RO,1102,11003,1101,110003,325881,Q1786440,,pt:Machadinho d'Oeste,-61.9995925724,-9.42556248,Machadinho d'Oeste,machadinho-doeste,
1100148,11,RO,1102,11005,1102,110005,325857,Q2014329,,pt:Nova Brasilândia d'Oeste,-62.308230163,-11.7213254139,Nova Brasilandia d'Oeste,nova-brasilandia-doeste,
1100155,11,RO,1102,11004,1102,110004,325854,Q1803223,,pt:Ouro Preto do Oeste,-62.2610551904,-10.7235739008,Ouro Preto do Oeste,ouro-preto-do-oeste,
