uf,uf_code,iso3166-2,osm_relation_id,wikidata_id,name,no_accents,gentilic,gentilic_alternative,macroregion,wikipedia_pt,website,timezone,flag_image
12,AC,BR-AC,326266,Q40780,Acre,Acre,acriano,acreano,Norte,pt:Acre,http://www.ac.gov.br,America/Rio_Branco,https://upload.wikimedia.org/wikipedia/commons/4/4c/Bandeira_do_Acre.svg
27,AL,BR-AL,303781,Q40885,Alagoas,Alagoas,alagoano,,Nordeste,pt:Alagoas,http://www.agenciaalagoas.al.gov.br,America/Maceio,https://upload.wikimedia.org/wikipedia/commons/8/88/Bandeira_de_Alagoas.svg
13,AM,BR-AM,332476,Q40040,Amazonas,Amazonas,amazonense,,Norte,pt:Amazonas,http://www.amazonas.am.gov.br,"(Leste) America/Manaus, (Oeste) America/Eirunepe",https://upload.wikimedia.org/wikipedia/commons/6/6b/Bandeira_do_Amazonas.svg
16,AP,BR-AP,331463,Q40130,Amapá,Amapa,amapaense,,Norte,pt:Amapá,http://www.ap.gov.br,America/Belem,https://upload.wikimedia.org/wikipedia/commons/0/0c/Bandeira_do_Amap%C3%A1.svg
29,BA,BR-BA,362413,Q40430,Bahia,Bahia,baiano,,Nordeste,pt:Bahia,http://www.ba.gov.br,America/Bahia,https://upload.wikimedia.org/wikipedia/commons/2/28/Bandeira_da_Bahia.svg
23,CE,BR-CE,302635,Q40123,Ceará,Ceara,cearense,,Nordeste,pt:Ceará,http://www.ceara.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bandeira_do_Cear%C3%A1.svg
53,DF,BR-DF,421151,Q119158,Distrito Federal,Distrito Federal,brasiliense,,Centro-Oeste,pt:Distrito Federal (Brasil),http://www.df.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/3/3c/Bandeira_do_Distrito_Federal_%28Brasil%29.svg
32,ES,BR-ES,54882,Q43233,Espírito Santo,Espirito Santo,capixaba,espírito-santense,Sudeste,pt:Espírito Santo (estado),http://www.es.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg
52,GO,BR-GO,334443,Q41587,Goiás,Goias,goiano,,Centro-Oeste,pt:Goiás,http://www.goias.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_Goi%C3%A1s.svg
21,MA,BR-MA,332924,Q42362,Maranhão,Maranhao,maranhense,,Nordeste,pt:Maranhão,http://www.ma.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/4/45/Bandeira_do_Maranh%C3%A3o.svg
31,MG,BR-MG,315173,Q39109,Minas Gerais,Minas Gerais,mineiro,,Sudeste,pt:Minas Gerais,http://www.mg.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/f/f4/Bandeira_de_Minas_Gerais.svg
50,MS,BR-MS,334051,Q43319,Mato Grosso do Sul,Mato Grosso do Sul,sul-mato-grossense,mato-grossense-do-sul,Centro-Oeste,pt:Mato Grosso do Sul,http://www.ms.gov.br,America/Campo_Grande,https://upload.wikimedia.org/wikipedia/commons/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg
51,MT,BR-MT,333597,Q42824,Mato Grosso,Mato Grosso,mato-grossense,,Centro-Oeste,pt:Mato Grosso,http://www.mt.gov.br,America/Cuiaba,https://upload.wikimedia.org/wikipedia/commons/0/0b/Bandeira_de_Mato_Grosso.svg
15,PA,BR-PA,185579,Q39517,Pará,Para,paraense,,Norte,pt:Pará,http://www.pa.gov.br,America/Belem,https://upload.wikimedia.org/wikipedia/commons/0/02/Bandeira_do_Par%C3%A1.svg
25,PB,BR-PB,301464,Q38088,Paraíba,Paraiba,paraibano,,Nordeste,pt:Paraíba,http://www.paraiba.pb.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/b/bb/Bandeira_da_Para%C3%ADba.svg
26,PE,BR-PE,303702,Q40942,Pernambuco,Pernambuco,pernambucano,,Nordeste,pt:Pernambuco,http://www.pe.gov.br,America/Recife,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_de_Pernambuco.svg
22,PI,BR-PI,302819,Q42722,Piauí,Piaui,piauiense,,Nordeste,pt:Piauí,http://www.pi.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/3/33/Bandeira_do_Piau%C3%AD.svg
41,PR,BR-PR,297640,Q15499,Paraná,Parana,paranaense,,Sul,pt:Paraná,http://www.pr.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paran%C3%A1.svg
33,RJ,BR-RJ,57963,Q41428,Rio de Janeiro,Rio de Janeiro,fluminense,,Sudeste,pt:Rio de Janeiro (estado),http://www.rj.gov.br,America/Sao_Paulo,https://upload.wikimedia.org/wikipedia/commons/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg
24,RN,BR-RN,301079,Q43255,Rio Grande do Norte,Rio Grande do Norte,potiguar,norte-rio-grandense,Nordeste,pt:Rio Grande do Norte,http://www.rn.gov.br,America/Fortaleza,https://upload.wikimedia.org/wikipedia/commons/3/30/Bandeira_do_Rio_Grande_do_Norte.svg
11,RO,BR-RO,325866,Q43235,Rondônia,Rondonia,rondoniano,rondoniense,Norte,pt:Rondônia,http://www.rondonia.ro.gov.br,America/Porto_Velho,https://upload.wikimedia.org/wikipedia/commons/f/fa/Bandeira_de_Rond%C3%B4nia.svg
14,RR,BR-RR,326287,Q42508,Roraima,Roraima,roraimense,,Norte,pt:Roraima,http://www.rr.gov.br,America/Boa_Vista,https://upload.wikimedia.org/wikipedia/commons/9/98/Bandeira_de_Roraima.svg
